emotion,text,,,
anger,"I had to unscrew something on my car. I didn't succeed after two á
afternoons of trying. A feeling of anger built up itself.",,,
anger,"I experience this emotion quite often but the day I was most á
angry was the day I got pulled up for something I had not done.  á
It happened during my school days, I had not spoken a word in á
class but the monitor had written my name on the board.  So I",,,
anger,"When I was accused of having refused to do some hostel work while á
I was at school.  Actually I had not been allocated any work.",,,
anger,"An unjust refree decision at a sports event when I was the team á
leader.",,,
anger,"When I saw a big man hit another one, and nobody did anything.",,,
anger,I haven't often felt this feeling. Once someone stole my garment.,,,
anger,"The comrade staying next doors insulted me for what he called  á
the misuse of his iron.  He called me stupid, self centered etc.  á
I wanted to punch him but instead went for a walk to the mining á
school to cool off.",,,
anger,"One of my friends asked me to go shopping with her, another á
friend of hers was also coming along.  During the outing they á
kept talking to each other and I felt left out, even when I tried á
to talk to them they seemed not to listen to me and did not p",,,
anger,"When I wanted to talk to someone I liked and whom I have been á
told likes me (by his brother and even by himself) however he á
avoids any confrontation, and is vague.",,,
anger,[ An unfair punishment.],,,
anger,"I am separated from my husband.  The way he has behaved towards á
me makes me angry.",,,
anger,"When, for example, I was not approved to continue my studies at á
the Moscow University, no matter that I had the highest marks and á
in general the best records of all the candidates.",,,
anger,[ No response.],,,
anger,"When someone accuses me without reason and is not willing to á
listen to me.",,,
anger,"A drummer who had borrowed my drums destroyed both the drumskin á
and the sticks.  He did not repair them nor did he tell me about á
it.",,,
anger,"A girl whom I trusted and with whom I had shared personal, confidential á
matters twisted the facts and told it to a common friend of ours. á
 When this common friend told me the version my friend had told á
her, I was angry.",,,
anger,"My brother told me that a person (whom I know) had insulted him.  á
I am very fond of my brother, and as he himself can not get angry á
or hurt, my protectiveness was aroused and I got angry.",,,
anger,"One morning I was standing at the bus-stop and the bus passed by á
without stopping, even though there were only 8-10 passengers á
inside.  I felt angry at the rude behaviour of the bus driver and  á
conductor.",,,
anger,"I peeped into Maurine's bedroom and saw two people - Maurine anbd á
my step-dad.  I thought, "" Why did she break her promises ? Why á
had she invited me ? Why do old men go for young girls ? """,,,
anger,"I was not given a chance to explain to my close relatives as to á
why I could not go to visit them when they were ill.  When I did á
go, they thought that I had been selfish and irresponsible duringá
their illness.",,,
anger,"In the house where I live there is a new flatmate. His friends á
unfortunately are the dirt of society, intelligent, fashonable, á
rich and bored. At a party recently they were doing things I á
didn't like done in my house. I felt angry at them.",,,
anger,"When I told off a computer teacher who did not want to teach me á
beacause of prejudice.",,,
anger,"A good friend deceived me. Because of that little quarrel our á
relationship finished, mainly because she was not honest. I was á
very angry about that.",,,
anger,"Uncleaniness at my work place.  The place is generally not very á
clean, but when it reaches a point, I get angry at the person á
who is supposed to clean the place and the people who are á
supposed to supervise him.",,,
anger,"My feelings towards would-be in-laws for their participation in á
recent broken relationship.",,,
anger,"When the others did not do their bit of work on a group á
assignment task, and I had to do all the work.",,,
anger,"A friend got angry and drove ""like a lunatic"" with me and others á
in his car. I was angry about his dangerous driving.",,,
anger,"This was when I found out that a cousin of mine had taken away my á
trousers without my consent.",,,
anger,"When I was victimized for running away with a girl who was á
somebody else's wife and niece at the same time.  I was very á
angry over this issue because I was told to pay him money after á
having been punished for it. ",,,
anger,When I learned that my brother had spoilt an LP of mine.,,,
anger,"At having an argument with a stranger, in the street.",,,
anger,"I had made an error in planning a programme and had publicly á
accepted the mistake, despite repeated requests not to bring the á
matter for discussion a professor kept constantly passing remarks. á
I reacted angrily.á
 ",,,
anger,"A few days back a friend of mine poked me in the ribs for fun's á
sake, though I had warned him an infinite number of times that it á
really hurts me, he did it again.  I usually ignore this but this á
time I flared up for a split second and threatened to",,,
anger,"When my friend (girl) promised to help me go to the hospital and be á
examined by good experts and she deceived me.",,,
anger,"When I was accused by my brother of having stolen a 5 kwatcha á
note from my mother's bag.  I was beaten up for this, the money á
was found later.",,,
anger,When I was punished in school for no serious mistake of mine.,,,
anger,"One day, when I was a child, my grandmother shut me up in a room.",,,
anger,"When I was forced to call the telephone company about a bill á
concerning a disconnected phone belonging to my landlord.  The á
bill was four months overdue and in the meanwhile he had been á
using my phone, he seemed to have no intention of having his ow",,,
anger,[ After an examine I had been satisfied with.],,,
anger,"A whole crowd of us went to a folklore festival. The instructor á
of the cast where my boyfriend played was traveling with us. We á
decided to catch the train that leaved early in the morning á
because we had business on the following day. The instructor ",,,
anger,They wanted something to happen but I didn't.,,,
anger,"This was the worst incident of my hostel life.  I was insulted by á
a close friend of mine on the eve of the New year and it totally á
spoiled my New year's night.",,,
anger,"I was disappointed and angry at the bad quality of a documentay á
program on TV.  In my opinion, the topic was important and the á
program should have been made with seriousness and consideration.",,,
anger,"When I was dismissed unjustly from the firm where I worked, á
because there where persons that didn't have problems, and á
wouldn't miss in the jobs they occupied if they were dismissed.",,,
anger,"Once a friend had pushed me and I had fallen on to a window which á
then broke.  I was taken to tthe principal's office and he á
accused me of having broken the window.",,,
anger,"I had an accident with a trafic police car that was packed at a á
curve without any visibility and against all traffic regulations á
in a strong snowstorm. As a result I still cannot repair my car á
because of the missing spare parts.",,,
anger,"When after a lot of provocation my child threw a plate on the á
floor.",,,
anger,"When a friend tried to back bite me on false grounds.  This made á
me wonder if he was a really a good friend.",,,
anger,During the short period of my unemployment about six years back.,,,
anger,"An argument among friends in which my opinions on the way to á
spend spare time were disapproved.",,,
anger,"When, after a week at school, a teacher sent a note home saying á
that my son was inattentive and unable to do his lessons.",,,
anger,"One day my room-mate started imitating me, doing what I had done á
a few hours back.  I got very angry and started beating him up.",,,
anger,"When my friends left without waiting for me, after we had arranged á
to go out together.",,,
anger,"A new gas connection was to be installed and the mechanic who came á
to do it was very rude to my mother and me.  I rushed to thhe á
dealer with my mother and had a fight with the dealer as he á
seemed to be unreasonable and was taking the mechanic's side",,,
anger,When my sister broke my china tea set.,,,
anger,"When I saw a few people beating a man who seemed to be a á
stranger.",,,
anger,Exchange of points of view with my sister on a family matter.,,,
anger,People hunting animals.,,,
anger,"I experience that feeling when I am unsulted without deserving á
it or when someone deceives me.",,,
anger,"Despite our good performance and excellent results the management á
refused to meet our demands.",,,
anger,"I had an appointment with someone at a certain time. The other á
person didn't appear.",,,
anger,When a friend of mine was trying to make a fool out of me.,,,
anger,"When you are unjustly assessed at something you are sure to have á
been right.",,,
anger,"I get angry with people who attain certain status without á
deserving it, only with the support, authority and influence of á
other people.",,,
anger,"When I was dancing with a dame at a social, one of my friends who  á
was interested in her came and took her away from me.  I was á
really angry with him then.",,,
anger,"When I was doing research a few months ago, I had asked the á
Institute to sponsor me for a computer course which was held in á
TISS.  However, because of the administrative officer I could not á
get the money.",,,
anger,"Jealous of my husband's old girlfriend.  We met her with her á
husband and there was a lot of reminiscing.",,,
anger,When I got a low grade in an administration course.,,,
anger,"[ On discovering the red-tapism and the bureaucratic, corrupt, á
decadent, degenerated infrastucture of every public utility, á
office and service; and the rampant corruption at every single á
level of education and other institutions.]",,,
anger,"I shared a secret with a friend and it later turned out that he á
had revealed it to another person with whom I didn't get along very well.",,,
anger,After having quarelled with a relative of mine about politics.,,,
anger,"I felt angry when repeated pleas to the ticket collector and the á
co-passengers in order to make a queue fell on deaf ears.  I have á
this feeling whenever someone is not disciplined and methodic in á
doing his duty.",,,
anger,"At school, a couple of years ago, a so-called acquaintance told lies á
about me to a teacher I was told about it by friends who overheard á
the conversation.",,,
anger,"When I was in form 3, my aunts lied to my daddy telling him that á
I had told them that I was pregnant.  My daddy  told my mother á
and she asked me if it was true.  I was very angry with my aunts.",,,
anger,"I was travelling from Delhi to Bombay.  I had booked a seat one á
month back and I had also got a telegram confirming this.  á
However, in the train my name had been omitted from the á
reservation sheet, and the one seat that was still vacant was á
allote",,,
anger,"One day my elder brother badly scolded my father.  This was the á
first time that I heard such abusive language from my brother.  I á
requested him humbly not to use this kind of language but he did á
not care for what I was saying.  Finally I picked up a",,,
anger,"I had studied for almost one week for my physics-examination. á
With difficulty I passed the examn. I was angry about the teacher á
and also about myself because I had not remembered enough during á
the examn and because the time that I spent studying was",,,
anger,"In certain occasion I have a fight with my boyfriend. During the á
fight I closed the door at his face. He went away but came back á
next day.",,,
anger,"Last year I had a friend visiting me for several days. The only á
thing he did was sleeping, drinking, taking pills and thinking á
only about himself.",,,
anger,"My girlfriend does practice and therefore leaves me alone at á
night and in the weekend. In addition, she is very busy doing á
several things. So we don't see each other often.",,,
anger,A tailor ran away with my skirt.,,,
anger,When someone does something wrong which affects me negatively.,,,
anger,"In a confrontation with a person, he provoked me several times á
till I reacted in an angry way.  Fortunately there were no á
disastrous consequences.",,,
anger,"Sometime back another girl who was in terms with my ex-boyfriend á
came to shout at me at twelve midnight. It was because she á
thought I was still interested in the boy.",,,
anger,"One day I lent my tennis I just had washed to my sister because á
she asked it. I asked her not to soil it as I had just washed it. á
Next day I looked at the tennis, and it was dirty with wax. She á
could not have soiled it. It was lack of consideration.",,,
anger,"I was furious when the teacher pointed out in class that I á
was the quietest girl in class.",,,
anger,"I felt angry when I was told that I had not been selected to go á
to the University.",,,
anger,When I was robbed in a bus.,,,
anger,"When I had an argument with my best friend and I thought that I á
was right and she was not.",,,
anger,"When I realized that I was far behind the others in the language á
course and I could no longer catch up with the others.",,,
anger,I was angry when my boyfriend did not turn up as promised.,,,
anger,"I reached the bus stop and realized that I had forgotten my bus á
pass.",,,
anger,"When my mother slapped me in the face, I felt anger at that á
moment.",,,
anger,"My parents thought that I didn't do my best to pass the final á
examination (secondary school). When I achieved a good grade they á
said nothing, but if I had had a bad grade they would have become á
very angry.",,,
anger,"I had been in love with a certain young man who pretended to love á
me but one day I found out that he had another girlfriend who was á
also a friend of mine.",,,
anger,"On the occasion of assignment of tasks and responsibilities in á
which such an assignment, dispropotionately carried with it high á
responsibility and low ability of organisation and resolution.",,,
anger,"The headmistress at a secondary school accused me of banging the á
classroom door when I didn't in front of the whole class.",,,
anger,When I quarelled with my parents.,,,
anger,"When they broke the artistic work of several weeks.  Changes were á
made and it was broken without permission, they had no right to á
do this.",,,
anger,"When I received the mark well above requirements for the course I á
wanted to enter, yet I was not accepted - anger at the injustice á
of it, because I didn't receive early release of H.S.C. marks.",,,
anger,"When I was the target of a great many insults and completely á
unfair accusations of a large group of people.",,,
anger,"Last week a friend of mine called on me and said I was moody and á
difficult to persuade. With this I got angry with her.",,,
anger,"My father promised me a bicycle for my birthday. Just before my á
birthday he forgot he promised this to me.",,,
anger,"I was very hungry and just wanted to start eating when a friend á
called me who usually talks for a long time. I was angry because á
I was prevented from eating.",,,
anger,"A ""higher status"" colleague of mine despised my attitude and á
organization of work.",,,
anger,When I damaged my wristwatch which I liked very much.,,,
anger,"I loved a person and he went away. It wasn't necessary that he á
left me to reach his goals.",,,
anger,"My father began to say incoherant things concerning my brother's and á
my own behaviour towards him.  His biased (authoritarian) and á
ridiculous point of view made us angry.",,,
anger,"It was during the beginning of the term. I had K100 and kept it á
in my handbag. I left the handbag in the wardrobe but didn't á
lock it. Next time I found that K30 were stolen.",,,
anger,I was angry when somebody stole my half petticoat.,,,
anger,"I went to a fair where a guy who was drunk kept bothering me and á
in the end I got really angry.",,,
anger,"A friend had promised to call me at a certain time. I expected á
his call impatiently but in vain.",,,
anger,"When a boy tried to fool me so he would be OK trying to show me á
that he is a gook boy.",,,
anger,My bicycle was demolished.,,,
anger,"When I knew that they would not give me a transfer from one á
university to another.  I began to insult the educatioon á
authorities and the government, I ended up at the door.",,,
anger,"I wrote an Exam and happened to have not done as well as I á
thought I would. I was angry to myself for not having done so á
well.",,,
anger,"In the last year of the high school we had a huge fight between á
my group and the graduation commission (two students of my á
classroom) because they accused us unjustly of a gossip about á
them.",,,
anger,"I was angry when someone stole a magazine which I had borrowed á
from another friend and locked it in a drawer.",,,
anger,I saw a report on T.V news on apartheid in South Africa. ,,,
anger,My mother in law slept in my bed.,,,
anger,"I was angry when my friends said that I should not receive á
Nursing Science books because there was a rumour that I was á
intending to leave the college.",,,
anger,"When I was deputy manager during the Summer, certain deputies á
took liberties, more than what was normal.",,,
anger,The time when someone let the air out of the tyres of my cycle.,,,
anger,"I was given an exam which I thought did not measure at all my á
ability or my knowledge of the subject.",,,
anger,"When my boss cut off my vacations saying that in that month it á
wouldn't be possible, and after some time he let another girl á
take vacations that month. The anger was because of the á
resentment. Resulting from our bad relationship.",,,
anger,"About the car (sadness) I felt anger the way I acted after á
negotiating it.",,,
anger,I felt angry when my friend told me that I had stolen her money.,,,
anger,"Two boys whom I know were telling me, in an indecent manner, how á
they had teased a young and shy girl I know.  They had despised á
her conviction, scorned and touched her.  I got very angry and á
did not try to conceal it and gave it back to them.",,,
anger,When my brother was held up and robbed.,,,
anger,"I suffer from a disease of my muscles. Therefore, I am only able á
to attend lectures for half a day. So, sometimes I miss á
obligatory lectures. However, the teachers do not take into á
account my disease, and punish me with detention work, resulting in ",,,
anger,"One of my friends went and told another friend of mine that I was á
going abut with another guy in Lilongwe besides the one I had. á
She said I was seen with him hand in hand.",,,
anger,"When I did not find the rack used for beating up rugs, in the á
yard.",,,
anger,"I'm crazy about football. When my team lost a goal in the Paulist á
championship, and so it lost the classifications.",,,
anger,I was so angry with a patient who refused to take drugs.,,,
anger,"During the Summer, at my workplace, a person kept interfering á
with my tasks and making unfounded remarks.  I felt hatred for á
him but it stopped when I realized that he just longed for attention.",,,
anger,"Nearby the end of the year my wife and I were having a car ride, á
when it appears another vehicle, driven by a drunk driver and á
provokes an accident.",,,
anger,Made mistakes in exam.,,,
anger,"[ I sometimes quarrel with my mother because she blames me, á
though I have not in any way been connected to some events.]",,,
anger,"I felt anger of a friend when she met ""a date"" and become nervous á
and pest as she always gets when she meets him.",,,
anger,My friend misunderstood me.,,,
anger,"When a pick-pocket robbed me of my money (K20) while I  was á
buying bathing soap.",,,
anger,"A man treated his dog very badly - he insulted and beated him á
until the dog kept lying on the floor with his tail drawn in.",,,
anger,"In a very important basket-ball match where a lot was at stake, I á
played very badly.",,,
anger,Listening to long speech of the party leaders wasting my time.,,,
anger,When they stole my dark blue tennis.,,,
anger,"We were in a disco and the evening was not at all pleasant.  á
Despite my not knowing why, I was angry with my companion.  I let á
him feel my bad humour as I cannot hide my feelings.",,,
anger,"It was when I discovered that my boyfriend had another girl. I á
discovered it through a letter he wrote to the girl when he was á
away. When I asked him he accepted it.",,,
anger,"I was angry with a friend of mine who behaved in an affected á
manner.",,,
anger,"One day I was angry with my friend who went into my drawer and á
took a piece of paper on which I wanted to write a letter and á
used it for her business without my knowledge.",,,
anger,During my last exam.,,,
anger,"I was angry at the Cafeteria when the cook scolded and said many á
bad things about me without reason. He thought I was among the á
girls who did him wrong.",,,
anger,"When talking with my sister, she often ventilates prejudices, á
which my father also adheres.",,,
anger,"Once in my work it happened a fight between the person in charge and me. I á
got so angry and spoke out everything I felt at the moment.",,,
anger,"When a certain boy went about saying that I am his girlfriend. I á
wrote him an insulting letter to him and called him names.",,,
anger,"I had got a bad cold. My father said I must be crazy to go by á
motorbike at those temperatures. When I answered him that I did á
not care about a cold, he said that if I did not care for á
anything I could leave him (it was for the second time he said á
",,,
anger,"When a person is privileged in account of situations that are á
unjust, and disloyal to colleagues and friends.",,,
anger,"We were at school, in the room for audiovisual classes.  We were á
watching a film, and just behind me two classmates were bothering á
me with their mocking and shoves.  I reacted angrily (I suppose)  á
by hitting one of them.",,,
anger,"My parents are divorced, father pays alimony for me. Two years á
ago my sister who lives with father, suddenly asked mother for á
money. As she considered the amount of money my mother offered á
her too small, she brought an action against mother. I was á",,,
anger,"I had a very heavy work load and two colleagues, whom I have á
nothing against, disturbed me by ""terror ringing"", i.e á
continously interrupting me by telephoning.",,,
anger,When my dress was stolen.,,,
anger,"I was angry the other day because the teacher told me to sweep á
some orange peels. It was my friends who were supposed to sweep, á
but the teacher told me to do it.",,,
anger,"When I used to go to my chief asking about any doubt about the job á
and he didn't care, didn't answer me, leaving me speaking alone.",,,
anger,"When, after drinking a glass of water, I found a cockroach walking á
out of the glass.",,,
anger,"I was angry when I had not been granted a leave out pass during á
the last weekend.",,,
anger,"When I arranged our holiday in Paris, and my girlfriend raised á
criticisms all the time.",,,
anger,"Somebody took my wristwatch and promised to have it mended and á
later was telling me that he couldn't give it back to me because I was á
rude at a certain time.",,,
anger,"When my tennis match was interrupted because a kid cycled right á
into the court.",,,
anger,"The fact that I hadn't been informed about something and I had the á
greatest trust in this person.",,,
anger,"A person I trusted a lot gave me many false explanations to á
justify a wrong action.",,,
anger,"The patient whom I expected to get well suddenly passed away á
after he showed had his meals.",,,
anger,"A certain man went to my parents and told them that I was married á
here, when I am here at school. When I went home for holidays my á
parents asked me about it and I was angry with that man.",,,
anger,"I had stolen a bottle of rum from a person who knows me well. He á
threatened to call the police if I did not pay 500 Shillings.",,,
anger,"A person ignored my advice, did not pay any attention to what was á
saying. She acted as though I wasn't even there. We were doing á
group work so everybody had the right to speak yet she just á
ignored me. She made me feel insignificant.",,,
anger,"My employer took too many aspirins for a bad back and also drank á
an enormous amount of spirit.  This was dangerous  and he did á
not understand that he had done anything wrong.",,,
anger,When I had a serious argument with a dear person.,,,
anger,"It was when my Instructor awoke me late at night to get prepared á
for the training at Military college when he was coming back from á
his personal social activities.",,,
anger,"My sister came back home and reproached me for not having tidied á
up the house, although I had been working all morning and she had á
done nothing.",,,
anger,"A quarrel with my mother because I thought she said very á
unreasonable things about me, that hit me strongly.",,,
anger,"I experienced this when one of my friends reported to the á
Headmaster that I had gone out for beer, whilst the information á
was not true at all. So I had to fight the friend before the á
Headmaster.",,,
anger,"My grandmother is a highly authoritative person, who lives alone, á
is independent, but doesn't know to live without commanding the á
others. I hate this!",,,
anger,"My parents put pressure on me to buy clothes, when I would not á
have liked to do so.",,,
anger,"When I saw a car run over a child, out of carelessness.",,,
anger,"When close relatives tried to dissuade me from studying á
Psychology because of its low status.",,,
anger,"I was very angry when one day I went to see my girlfriend I á
talked to her and could not answer back. She was depressed for á
reasons which were not known to me.",,,
anger,"I had applied for a job and they had assured me that the exams á
would take place a few months later.  A week later I went to á
obtain some more information and they told me that the exams had á
already taken place.",,,
anger,"It was when my friend had stolen my money (K10) and had á
disappeared.",,,
anger,"When my brother went out with my new shirt that I adored, and á
returned it dirty with grease.",,,
anger,I felt very angry after one driver had run over my beloved niece.,,,
anger,"A ex-boyfriend tried to prejudice me before my fiancT and his á
family saying things about me that let his family worried. We had á
to postpone our wedding and we were already using our wedding á
rings. To be honest I didn't feel just anger, I felt hate.",,,
anger,"When I heard that I was not to be provided with another pair of á
medical uniform.",,,
anger,"I was with my family and we found some abandoned puppies.  I á
wanted to help them but everyone said no.  We then left.",,,
anger,"A colleague asked me for some advice and as he did not have á
enough confidence in me he asked a third person.",,,
anger,When the coach of our team degraded me to the second team.,,,
